Object Name,Object Type,Location,Cluster Location,SLA Domain,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
Generic Linux excluding basic ephemeral dirs,Linux Fileset,10.80.4.111,Remote,Testing client,11/14/2017 12:53,3,0,0,0
All,Linux Fileset,\\10.244.1.146\ACCD,Remote,NL Two Weeks NAS,1/15/2018 12:25,5460.2,0,1892,0
All,Linux Fileset,\\10.244.1.146\ACD,Remote,NL Two Weeks NAS,1/15/2018 12:11,294.8,0,-126.8,0
ERP-BIDEVAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
EAG-PFSENSE-ANR01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/4/2018 13:08,0.2,0,0,0
EAG-PFSENSE-ANR02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/4/2018 14:08,0.7,0,0.1,0
ERP-BUDDBDEV01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
JUD-OP-DB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/5/2018 11:49,35.8,0,10.9,0
JUD-OP-DB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/5/2018 11:49,61.7,0,-58.3,0
JUD-DR-OP-DB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/5/2018 11:49,23.5,0,0.6,0
EDU-SQL,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ERP-NVISION,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/7/2018 7:14,23.6,0,-609.2,0
AHSORAD01D,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
EAG-PFSENSE-AHS01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/10/2018 14:29,0.8,0,15.1,0
ANR-SATURN,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/10/2018 15:28,5093.8,0,-26540,0
